ulasan,processed_text
"dear gojek kalo memang pengantaran expres kalian lebih sering telat mending gak usah di buat pilihan expres nya orang"" memilih expres dan penambahan biaya agar makan dapat segera di nikmati nyatanya keseringan telat saya akan tetap membiarkan review ini agak kalian dapat melakukan perbaikan 👎👎👎","['dear', 'gojek', 'kalo', 'antar', 'expres', 'telat', 'mending', 'gak', 'pilih', 'expres', 'nya', 'orang', 'pilih', 'expres', 'tambah', 'biaya', 'makan', 'nikmat', 'sering', 'telat', 'biar', 'review', 'baik', '']"
Tolong di perbaiki bug nya.. Soal nya saya baru mendaftar tapi tidak bisa masuk dengan alasan di suruh update ke versi terbaru padahal saya baru saja download gojek.. Sudah saya tunggu 2 jam lebih karna saya kira lagi maintenance tapi tetap tidak bisa dan sudah saya install ulang tapi tetap saja di suruh ke update ke versi terbaru,"['tolong', 'baik', 'bug', 'nya', 'nya', 'daftar', 'masuk', 'alas', 'suruh', 'update', 'versi', 'baru', 'download', 'gojek', 'tunggu', 'jam', 'karna', 'maintenance', 'install', 'ulang', 'suruh', 'update', 'versi', 'baru']"
"gojek nih kebiasaan, voucher goride pasti abis mulu, percuma ngadain promo pakw voucher2 tapi setiap mau klaim udah abis mulu, ga jelas, ga niat banget sih !!!! klo niat ngasih voucher bikin voucher yang banyak, jadi ga keabisan mulu klo pelanggan mau klaim, pelit banget heran gw !","['gojek', 'nih', 'biasa', 'voucher', 'goride', 'abis', 'mulu', 'ngadain', 'promo', 'pakw', 'voucher', 'klaim', 'udah', 'abis', 'mulu', 'ga', 'ga', 'niat', 'banget', 'sih', 'klo', 'niat', 'ngasih', 'voucher', 'bikin', 'voucher', 'ga', 'abis', 'mulu', 'klo', 'langgan', 'klaim', 'pelit', 'banget', 'heran', 'gw']"
"Driver gocarnya sekarang banyak yang sombong, disuruh jemput di basement gak ngerti ngerti. Sudah banyak pemain pula, pesan prioritas tapi gak jalan jalan di map, ditungguin lama gak datang datang.","['driver', 'gocarnya', 'sombong', 'suruh', 'jemput', 'basement', 'gak', 'ngerti', 'ngerti', 'main', 'pesan', 'prioritas', 'gak', 'jalan', 'jalan', 'map', 'ditungguin', 'gak']"
"pertama kali pake, aplikasinya sih oke tapi driver nya itu loh,aku udah nunggu 30menit lebih tapi ga smpe² pdhl katanya tinggal 4 menit jadi ga berangkat sekolah aku gara² telat lama. di peta juga drivernya ga gerak,gatau itu aplikasi apa emg drivernya.sebel bgt","['kali', 'pake', 'aplikasi', 'sih', 'oke', 'driver', 'nya', 'loha', 'udah', 'nunggu', 'menit', 'ga', 'smpe', 'pdhl', 'tinggal', 'menit', 'ga', 'berangkat', 'sekolah', 'gara', 'telat', 'peta', 'drivernya', 'ga', 'gerakgatau', 'aplikasi', 'emg', 'drivernyasebel', 'bgt']"
aneh saya salah satu pengguna terpilih yang bisa mencicil gopay later tp saat mau mencicil buat bulan depan fitur itu tiba2 hilang saya belanja banyak2 karna saya fikir bisa di cicil ternyata ga bisa mohon perbaikan nya,"['aneh', 'salah', 'guna', 'pilih', 'cicil', 'gopay', 'later', 'tp', 'cicil', 'fitur', 'hilang', 'belanja', 'karna', 'fikir', 'cicil', 'ga', 'mohon', 'baik', 'nya']"
"saya merupakan pengguna fitur Gopay Pinjam. 2x pembayaran lancar dan bulan ini, jatuh tempo yang ke3, dikarenakan ada kendala keuangan memang saya masih blm bisa membayar sesuai tagihan. Namun saat saya ditelepon berulang kali di WA dan saya menjelaskan kondisi keuangan yg memang tdk baik, petugas menyampaikan dg nada mengancam bahwa semua data pribadi saya dan foto akan disebar ke seluruh kontak. Nada petugas sangat mengintimidasi dan mengancam. Apa memang benar petugas penagihan seperti itu ?","['guna', 'fitur', 'gopay', 'pinjam', 'x', 'bayar', 'lancar', 'jatuh', 'tempo', 'kendala', 'uang', 'blm', 'bayar', 'sesuai', 'tagih', 'telepon', 'ulang', 'kali', 'wa', 'kondisi', 'uang', 'yg', 'tdk', 'tugas', 'dg', 'nada', 'ancam', 'data', 'pribadi', 'foto', 'sebar', 'kontak', 'nada', 'tugas', 'intimidasi', 'ancam', 'tugas', 'tagih']"
pesanan gomart ada item yang tidak ada. langsung dikurangin di harga. kemudian promo langsung tidak terpasang. tidak ada d infokan promo gratis ongkirnya bakalan hilang. telpon ke gojek JKT jg TDK ad penyelesaian. padahal dari toko yang tidak ada produknya.,"['pesan', 'gomart', 'item', 'langsung', 'rangin', 'harga', 'promo', 'langsung', 'pasang', 'd', 'info', 'promo', 'gratis', 'ongkirnya', 'hilang', 'telpon', 'gojek', 'jkt', 'jg', 'tdk', 'ad', 'selesai', 'toko', 'produk']"
"gopay laternya sekarang tdk bisa di buat listrik pascabayar. gak guna sama sekali sekarang masukin nomer meter pln tdk bisa. disuruh cek terus. padahal sudah benar"" gk guna. unistal saja pindah ke aplikasi sebelah.. lebih untung","['gopay', 'laternya', 'tdk', 'listrik', 'pascabayar', 'gak', 'masukin', 'nomer', 'meter', 'pln', 'tdk', 'suruh', 'cek', 'gk', 'unistal', 'pindah', 'aplikasi', 'belah', 'untung']"
"suka sama aplikasi nya karna memudahkan kalau mau kemana""tapi disayangkan kalau pesan makan nunggu bisa sampe 1jam an dan kalau ga dapat driver pesanan dibatalkan otomatiss,jadii hampa bgtt nunggu lama tp makanan ga dateng","['suka', 'aplikasi', 'nya', 'karna', 'mudah', 'kemanatapi', 'sayang', 'pesan', 'makan', 'nunggu', 'sampe', 'jam', 'an', 'ga', 'driver', 'pesan', 'batal', 'otomatissjadii', 'hampa', 'bgtt', 'nunggu', 'tp', 'makan', 'ga', 'dateng']"
"kalo gofood selaluuuuuuuuuuu telat, ga bisa on time. pdhl belinya d luar rush hour. culasnya, kalo udah kira2 telat, timer di applikasi ttg nrp menit lagi shrusnya pesenan dtg langsung diem. ga jalan lg timernya, hilih","['kalo', 'gofood', 'selaluuuuuuuuuuu', 'telat', 'ga', 'on', 'time', 'pdhl', 'beli', 'd', 'rush', 'hour', 'culas', 'kalo', 'udah', 'telat', 'timer', 'applikasi', 'ttg', 'nrp', 'menit', 'shrusnya', 'sen', 'dtg', 'langsung', 'diem', 'ga', 'jalan', 'lg', 'timernya', 'hilih']"
"saya sudah lama menggunakan gojek, awalnya lancar aja. Pesanan selalu datang tepat waktu. Tapi hari ini hampir satu jam makanannya baru sampai, padahal biasanya 5 menit sudah sampai. Alasannya rantai motor putus. Pertanyaan saya, apakah tidak ada aturan khusus dari perusahaan, agar yang bekerja pakai apk gojek tidak ambil orderan, jika memang ada kendala ?! Ini demi kenyamanan semua pihak pengguna. Thanks 🙏","['gojek', 'lancar', 'aja', 'pesan', 'jam', 'makan', 'menit', 'alas', 'rantai', 'motor', 'putus', 'atur', 'khusus', 'usaha', 'pakai', 'apk', 'gojek', 'ambil', 'order', 'kendala', 'nyaman', 'guna', 'thanks', '']"
"mohon untuk aplikator, sistem nya bisa di rubah gak? untuk akun gojek customer agar biodata profil itu di bagian namanya harus sama seperti sesuai KTP, ini karena marak nya terjadi orderan fiktif, jika memang bisa di upayakan dgn nama yang sesuai KTP, setidaknya itu bisa mencegah terjadinya orderan2 fiktif, karena sekarang sudah sangat banyak terjadi fiktif, agar driver2 kalian juga merasa nyaman dgn kebijakan baru kalian jika bisa merubah sistem tsb.","['mohon', 'aplikator', 'sistem', 'nya', 'rubah', 'gak', 'akun', 'gojek', 'customer', 'biodata', 'profil', 'nama', 'sesuai', 'ktp', 'marak', 'nya', 'order', 'fiktif', 'upaya', 'dgn', 'nama', 'sesuai', 'ktp', 'cegah', 'order', 'fiktif', 'fiktif', 'driver', 'nyaman', 'dgn', 'bijak', 'rubah', 'sistem', 'tsb']"
"teruntuk para driver GoCar kalo emg ngga bisa anterin penumpang ke tujuan jangan diambil orderannya kalo emg lokasinya jauh sama orderan ya jangan diambil!! sampe akun hampir ke blokir gara"" driver pada ngga bisa anterin alesan lokasi jauh lah, tolong bgt kalo emg g bisa anterin penumpang jangan diambil orderannya!!! dan kalo mau cancel ya cancel dari drivernya!!!","['untuk', 'driver', 'gocar', 'kalo', 'emg', 'ngga', 'anterin', 'tumpang', 'tuju', 'ambil', 'order', 'kalo', 'emg', 'lokasi', 'order', 'ya', 'ambil', 'sampe', 'akun', 'blokir', 'gara', 'driver', 'ngga', 'anterin', 'alesan', 'lokasi', 'tolong', 'bgt', 'kalo', 'emg', 'g', 'anterin', 'tumpang', 'ambil', 'order', 'kalo', 'cancel', 'ya', 'cancel', 'drivernya']"
Ini parah banget Gocar bandara di Bandar lampung.. tari awal 211.000 ada promo voucher jadi 176.000 pas nyamperin mbak2 petugas pickup nya untuk masukin kode disuruh nunggu.. udh nunggu di samperin lagi katanya zona pengantaran ga update dengan tarif nya.. tarif awal sebelom diskon 211.000 ini setelah diskon 176.000 disuruh nambah diluar aplikasi 90.000 lagi.jadi total bayar 276.000. yang ada harga nya lebih mahal dari sebelum menggunakan diskon .. gila Ga bagus Banget ini paraaahhhhhh,"['parah', 'banget', 'gocar', 'bandara', 'bandar', 'lampung', 'tari', 'promo', 'voucher', 'pas', 'nyamperin', 'mbak', 'tugas', 'pickup', 'nya', 'masukin', 'kode', 'suruh', 'nunggu', 'udh', 'nunggu', 'samperin', 'zona', 'antar', 'ga', 'update', 'tarif', 'nya', 'tarif', 'bom', 'diskon', 'diskon', 'suruh', 'nambah', 'luar', 'aplikasi', 'lagijadi', 'total', 'bayar', 'harga', 'nya', 'mahal', 'diskon', 'gila', 'ga', 'bagus', 'banget', 'paraaahhhhhh']"
"tolong ya di perkaiki,g enak bgt tiap mau byr paylater slalu g bsa kebuka ,heh sengaja banget aplikasi supaya pada tat byar ya jd kena denda krn pas di buka pay later pasti g kehubung sllu bgtu dan prnah nnya ke mas gojek knp gni ,jawabnnya ya emang tiap awal bln sllu gt gila lah kecewa bgt sama sistemnya yang lemot ketika buka diawal bln jd buat g bsa byar tpt wktu","['tolong', 'ya', 'perkaikig', 'enak', 'bgt', 'byr', 'paylater', 'slalu', 'g', 'bsa', 'buka', 'heh', 'sengaja', 'banget', 'aplikasi', 'tat', 'byar', 'ya', 'jd', 'kena', 'denda', 'krn', 'pas', 'buka', 'pay', 'later', 'g', 'hubung', 'sllu', 'bgtu', 'prnah', 'nnya', 'mas', 'gojek', 'knp', 'gni', 'jawabnnya', 'ya', 'emang', 'bln', 'sllu', 'gt', 'gila', 'kecewa', 'bgt', 'sistem', 'lot', 'buka', 'awal', 'bln', 'jd', 'g', 'bsa', 'byar', 'tpt', 'wktu']"
"jarang banget ada promo, dan maps gojek nya sering bgt ga bisa tepat di titik jadi harus jelasin dlu ke driver untuk rute nya. gimana si gojek, bukan nya mempermudah customer jadi sering ngecewain customer","['jarang', 'banget', 'promo', 'maps', 'gojek', 'nya', 'bgt', 'ga', 'titik', 'jelasin', 'dlu', 'driver', 'rute', 'nya', 'gimana', 'si', 'gojek', 'nya', 'mudah', 'customer', 'ngecewain', 'customer']"
"Kecewa banget, Ga sengaja ke tekan, ga bisa batalin pesan. Padahal hanya 5 detik. Sial banget sama Gojek.. padahal dikasih pilihan mau batalin apa tidak. Ga bisa di klik juga. Pokoknya kecewa banget. Padahal dari dulu sering pakai dan jadi mitra setia. Habis kali ini usaha banget, ga akan pakai Gojek.. selama masih ada pilihan bisa digunain. Padahal jasa mereka juga paling mahal dari jenis yang sama. 'Bantuan' yg anda maksud tidak membantu sama sekali, yg ada nanti tetap saya pihak di rugikan.","['kecewa', 'banget', 'ga', 'sengaja', 'tekan', 'ga', 'batalin', 'pesan', 'detik', 'sial', 'banget', 'gojek', 'kasih', 'pilih', 'batalin', 'ga', 'klik', 'pokok', 'kecewa', 'banget', 'pakai', 'mitra', 'setia', 'habis', 'kali', 'usaha', 'banget', 'ga', 'pakai', 'gojek', 'pilih', 'digunain', 'jasa', 'mahal', 'jenis', 'bantu', 'yg', 'maksud', 'bantu', 'yg', 'rugi']"
"makanan yg dipesan berbeda dengan yg datang mohon diperiksa kembali kapabilitas resto yg terdaftar...ditambah di aplikasi susah atau bisa dikatakan chatting ke apk memakai AI jadi, tidak bisa mendeskripsikan masalah secara akurat, bahkan pemberian rating resto seperti nya bermasalah karena tidak bisa diakses secara langsung.....","['makan', 'yg', 'pes', 'beda', 'yg', 'mohon', 'periksa', 'kapabilitas', 'resto', 'yg', 'terdaftarditambah', 'aplikasi', 'susah', 'chatting', 'apk', 'pakai', 'ai', 'deskripsi', 'akurat', 'beri', 'rating', 'resto', 'nya', 'masalah', 'akses', 'langsung']"
"kok bisa rate di gopay saya rendah? padahal tidak ada masalah apapun dgn driver mungkin karena saya sering membatalkan driver yang lama nyampenya, yg gak gerak² padahal udah nungguin sesuai waktu yg di tentukan aplikasi tapi drivernya gak gerak² juga, trus giliran saya batalin dia malah nge rate rendah, kalo bisa kita juga harus bisa ngasih rate ke driver kalo drivernya gak gerak²","['rate', 'gopay', 'rendah', 'apa', 'dgn', 'driver', 'batal', 'driver', 'nyampenya', 'yg', 'gak', 'gerak', 'udah', 'nungguin', 'sesuai', 'yg', 'tentu', 'aplikasi', 'drivernya', 'gak', 'gerak', 'trus', 'gilir', 'batalin', 'nge', 'rate', 'rendah', 'kalo', 'ngasih', 'rate', 'driver', 'kalo', 'drivernya', 'gak', 'gerak']"
"driver trlalu byk minta cancel karena kejauhan katanya. Tambahan sudah beberapa kali driver cancel tanpa berkata apa2 padahal sudah nunggu lama.. Mngkin d tambah history di aplikasi costumer untuk orderan yg d cancel oleh driver jg,, biar bisa d report klo memang driver sprti prilaku yg d atas..","['driver', 'trlalu', 'byk', 'cancel', 'jauh', 'tambah', 'kali', 'driver', 'cancel', 'nunggu', 'mngkin', 'd', 'history', 'aplikasi', 'costumer', 'order', 'yg', 'd', 'cancel', 'driver', 'jg', 'biar', 'd', 'report', 'klo', 'driver', 'sprti', 'prilaku', 'yg', 'd']"
"untuk gojek, kenapa setiap pesan selalu dikasih driver yg jauh, padahal disekitar area saya pesan banyak banget gojek yg mangkal, JD lama nunggu, kadang sampai 10 menit, dan ujung2nya sama driver dicancel, mohon perbaiki lagi, alangkah lebih bijak kl kasih driver yang ada disekitar pemesan jadi ga kelamaan nunggu","['gojek', 'pesan', 'kasih', 'driver', 'yg', 'sekitar', 'area', 'pesan', 'banget', 'gojek', 'yg', 'mangkal', 'jd', 'nunggu', 'kadang', 'menit', 'ujung', 'driver', 'dicancel', 'mohon', 'baik', 'alangkah', 'bijak', 'kl', 'kasih', 'driver', 'sekitar', 'mes', 'ga', 'nunggu']"
